Wall time,Step,Value
1776277614.0767741,0,0.004758948460221291
1776277674.3708491,1,0.02205793932080269
1776277731.6901724,2,0.04835447669029236
1776277788.671884,3,0.08093448728322983
1776277845.5141826,4,0.10898011922836304
1776277902.8475237,5,0.14302989840507507
1776277960.1183093,6,0.17783740162849426
1776278017.0748305,7,0.21593476831912994
1776278073.993236,8,0.24907267093658447
1776278131.0477407,9,0.2896900177001953
1776278187.7530591,10,0.3336949944496155
1776278244.8660364,11,0.37948065996170044
1776278301.7500765,12,0.4108259081840515
1776278358.6795146,13,0.45271116495132446
1776278415.5051422,14,0.4841470718383789
1776278474.8167539,15,0.5189341306686401
1776278531.908245,16,0.5434769988059998
1776278587.3169148,17,0.5698236227035522
1776278642.613036,18,0.5996279120445251
1776278701.5419228,19,0.6236431002616882
1776278756.2463253,20,0.6530999541282654
1776278812.5192285,21,0.6718226075172424
1776278867.5057774,22,0.6894540190696716
1776278922.3464222,23,0.7125310897827148
1776278977.3227558,24,0.7286306619644165
1776279032.5116196,25,0.7476446628570557
1776279087.2766657,26,0.758252739906311
1776279142.1793072,27,0.7790520191192627
1776279196.9427807,28,0.7852519750595093
1776279252.0764012,29,0.7990569472312927
1776279306.986318,30,0.8160854578018188
1776279361.854163,31,0.8328602910041809
1776279416.9388635,32,0.8382145166397095
1776279476.8033805,33,0.8499842882156372
1776279535.381144,34,0.8601908683776855
1776279590.346748,35,0.8639838695526123
1776279644.0612586,36,0.8743241429328918
1776279697.8054821,37,0.8829364776611328
1776279751.4310505,38,0.8899798393249512
1776279805.131805,39,0.8937707543373108
1776279858.7074103,40,0.9081635475158691
1776279912.1648023,41,0.912118673324585
1776279965.766118,42,0.9167121648788452
1776280020.094701,43,0.9191393852233887
1776280073.3922713,44,0.9265285134315491
1776280126.6323748,45,0.9313709735870361
1776280180.0210478,46,0.9340669512748718
1776280233.5857337,47,0.9423013925552368
1776280286.7738006,48,0.9615387916564941
1776280339.9791257,49,0.9652514457702637
1776280393.4058204,50,0.9665378332138062
1776280446.817789,51,0.969672679901123
1776280500.060954,52,0.9701440930366516
1776280553.443354,53,0.9700992703437805
1776280606.6530266,54,0.9728155136108398
1776280659.932868,55,0.9752971529960632
1776280713.2663856,56,0.9770760536193848
1776280768.671142,57,0.9777915477752686
1776280825.7890375,58,0.975520133972168
1776280878.6767662,59,0.9860774278640747
1776280931.6363971,60,0.9856793880462646
1776280984.0771174,61,0.9886224865913391
1776281036.593472,62,0.9868780374526978
