Wall time,Step,Value
1776277614.0768402,0,0.016697026789188385
1776277674.3709562,1,0.04944596439599991
1776277731.6902616,2,0.09915756434202194
1776277788.671958,3,0.13038858771324158
1776277845.5142794,4,0.17228293418884277
1776277902.8476179,5,0.20154067873954773
1776277960.1184492,6,0.2547001242637634
1776278017.0748715,7,0.2845650315284729
1776278073.9933472,8,0.29038727283477783
1776278131.0478418,9,0.3108519911766052
1776278187.753156,10,0.3769678771495819
1776278244.86609,11,0.3784099221229553
1776278301.7501364,12,0.4105137288570404
1776278358.6795819,13,0.43763554096221924
1776278415.5052028,14,0.4634888172149658
1776278474.816952,15,0.45546016097068787
1776278531.908323,16,0.4705091714859009
1776278587.3170476,17,0.4910443425178528
1776278642.6130817,18,0.5096930265426636
1776278701.542497,19,0.5113788843154907
1776278756.246369,20,0.5083105564117432
1776278812.5192842,21,0.5389290452003479
1776278867.505818,22,0.5449789762496948
1776278922.3464751,23,0.5735102891921997
1776278977.3228123,24,0.5773972272872925
1776279032.511703,25,0.5614808797836304
1776279087.2767289,26,0.5697426795959473
1776279142.1793633,27,0.5574855208396912
1776279196.9428396,28,0.605326771736145
1776279252.076448,29,0.6152149438858032
1776279306.9863622,30,0.6172044277191162
1776279361.8542213,31,0.6142174005508423
1776279416.9389079,32,0.6467658281326294
1776279476.803465,33,0.6032451391220093
1776279535.3811889,34,0.6184024810791016
1776279590.346831,35,0.6170147061347961
1776279644.0613415,36,0.6106611490249634
1776279697.8055656,37,0.6437299847602844
1776279751.4311037,38,0.635966956615448
1776279805.1318882,39,0.6291580200195312
1776279858.707498,40,0.6368125677108765
1776279912.1648867,41,0.6699030995368958
1776279965.7662423,42,0.6473729610443115
1776280020.0947733,43,0.6629207134246826
1776280073.3923688,44,0.653856635093689
1776280126.6324825,45,0.6684502363204956
1776280180.0210948,46,0.6450310349464417
1776280233.5858114,47,0.6476764678955078
1776280286.7738395,48,0.665219247341156
1776280339.979206,49,0.665978193283081
1776280393.405905,50,0.6839545965194702
1776280446.8178508,51,0.6631592512130737
1776280500.0609982,52,0.6795743703842163
1776280553.4433973,53,0.6902430653572083
1776280606.6530826,54,0.6662167310714722
1776280659.9329138,55,0.6765168905258179
1776280713.2664466,56,0.670748770236969
1776280768.6711903,57,0.6628556251525879
1776280825.7891235,58,0.6776661276817322
1776280878.6768904,59,0.67718905210495
1776280931.6364431,60,0.6839762926101685
1776280984.0771708,61,0.6744568347930908
1776281036.5935702,62,0.6736111044883728
